id,text,annotation,iteration,ka_mean,ka_lower,ka_upper
0,Economy,26,0,,,
1,Poor Government,"4 - Pol-neg i.e., complaints about politics",0,,,
2,COVID 19,48,0,,,
3,immigration,12,0,,,
4,The cost of living crisis,32 for Living costs,0,,,
5,Covid,48,0,,,
6,coved19,48 for Coronavirus,0,,,
7,the economy,26,0,,,
8,NHS,1,0,,,
9,Cost of living,32,0,,,
10,COVID,48,0,,,
11,Cost of living,32,0,,,
12,Global warming,40 Environment,0,,,
13,Immigration,12,0,,,
14,underfunded nhs,1,0,,,
15,The economy,26,0,,,
16,cost of living energy prices,32,0,,,
17,Corruption in parliament,"4 - Pol-neg i.e., complaints about politics",0,,,
18,Covid,48,0,,,
19,COVID,48,0,,,
20,War in Ukraine,22 for War,0,,,
21,Brexit & Covid,"15, 48",0,,,
22,the Ukraine conflict,22 for War,0,,,
23,underlying health probems that have not been dealt with during the pandemic,1,0,,,
24,Economy,26,0,,,
25,Covid-19,48,0,,,
26,covid 19,48,0,,,
27,COVID-19,48,0,,,
28,Cost of living,32,0,,,
29,Immigration,12,0,,,
30,Cost of living,32,0,,,
31,Brexit,15,0,,,
32,immigration,12,0,,,
33,The economy,26,0,,,
34,crime,"I'm sorry, but I need the actual open-ended response in order to categorize it. Could you please provide the text response?",0,,,
35,Covid,48,0,,,
36,Cover 19 Indian strain,48 for Coronavirus,0,,,
37,EU aggression,22 War,0,,,
38,COVID 19,48 (Coronavirus),0,,,
39,rejoining the eu,15 for Europe,0,,,
40,Recovery from Covid-19,48 - Coronavirus,0,,,
41,Covid,48,0,,,
42,Cost of Living,32,0,,,
43,Rising living costs,32 for Living costs,0,,,
44,This lying cheating dishonest government,"4 - Pol-neg i.e., complaints about politics",0,,,
45,illegal migrants,12 for Immigration,0,,,
46,covie vir 19,48 for Coronavirus,0,,,
47,Economic recovery,26 for Economy-general,0,,,
48,Immigration,12,0,,,
49,Corona virus pandemic,48,0,,,
50,COVID,48,0,,,
51,Virus,48,0,,,
52,Cost of Living,32,0,,,
53,Climate change,40 Environment,0,,,
54,Brexit,15,0,,,
55,Covid,48,0,,,
56,Covid,48,0,,,
57,Covid hoax,48 for Coronavirus,0,,,
58,Covid 19,48,0,,,
59,Rising prices,31 - Inflation,0,,,
60,Pandemic,48,0,,,
61,Covid 19,48,0,,,
62,NHS backlog,1,0,,,
63,immigraation,12,0,,,
64,Economy,26,0,,,
65,Economy,26,0,,,
66,Coronavirus,48,0,,,
67,Cost of living,32,0,,,
68,Covid,48,0,,,
69,Recovering from Coronavirus,48,0,,,
70,economy,26,0,,,
71,Covid,48,0,,,
72,COVID,48,0,,,
73,Cost of living,32,0,,,
74,Covid,48,0,,,
75,price increases,31 for Inflation,0,,,
76,covid,48,0,,,
77,Covid-19,48,0,,,
78,Elitism and corruption,"4 - Pol-neg i.e., complaints about politics",0,,,
79,SLEEZE,"4 - Pol-neg i.e., complaints about politics",0,,,
80,Health crisis,1,0,,,
81,Economy,26,0,,,
82,cost of living,32,0,,,
83,Covid,48,0,,,
84,Covid 19,48,0,,,
85,Covid,48,0,,,
86,Incompetent & dishonest government,"4 - Pol-neg i.e., complaints about politics",0,,,
87,The Environment,40,0,,,
88,Cost Of Livinf Crisis and inflation,"32, 31",0,,,
89,effects of covid,48,0,,,
90,illegal immigration,12,0,,,
91,Covid,48,0,,,
92,Covid,48,0,,,
93,covid,48,0,,,
94,covid,48,0,,,
95,Covid,48,0,,,
96,The pandemic,48 for Coronavirus,0,,,
97,omnicrom virus,48 for Coronavirus,0,,,
98,Effects of the war in Ukraine,22 for War,0,,,
99,Cost of Living,32,0,,,
100,the virus,48,0,,,
101,Coronavirus,48,0,,,
102,Covid-19,48,0,,,
103,Covid,48,0,,,
104,Covid,48,0,,,
105,Immigration,12,0,,,
106,Corona virus,48,0,,,
107,Covid,48,0,,,
108,Immigration,12,0,,,
109,Covid,48,0,,,
110,recovering from covid,48,0,,,
111,rising cost of living,32 for Living costs,0,,,
112,COVID,48,0,,,
113,Climate change,40 Environment,0,,,
114,Russia invading Ukraine,22 War,0,,,
115,Rise in living costs,32 for Living costs,0,,,
116,Covid,48,0,,,
117,Coronavirus,48,0,,,
118,Cost of living crisis,32 for Living costs,0,,,
119,Covid,48,0,,,
120,Rising cost of living,32 for Living costs,0,,,
121,Covid,48,0,,,
122,Economy,26,0,,,
123,Economy,26,0,,,
124,Covid 19,48,0,,,
125,Climate change,40 Environment,0,,,
126,Cost of living,32,0,,,
127,Covid,48,0,,,
128,Cost of living crisis,32 for Living costs,0,,,
129,Covid,48,0,,,
130,Cost of living,32,0,,,
131,Recovering from the virus,48 - Coronavirus,0,,,
132,Covid,48,0,,,
133,Covid,48,0,,,
134,Crime,"- ""The rise in crime rates across the country is very concerning.""
- ""I believe addressing crime and improving public safety should be the top priority for the government.""
- ""The issue of crime, especially in urban areas, needs to be tackled more effectively.""",0,,,
135,Crime,"- ""The rise in crime rates across the country is very concerning.""
- ""I believe addressing crime and improving public safety should be the top priority for the government.""
- ""The issue of crime, especially in urban areas, needs to be tackled more effectively.""",0,,,
136,COVID 19,48 (Coronavirus),0,,,
137,Covid,48,0,,,
138,Protecting the environment,40 for Environment,0,,,
139,healthcare,1,0,,,
140,Covid,48,0,,,
141,Covid,48,0,,,
142,Government corruption,"4 - Pol-neg i.e., complaints about politics",0,,,
143,Climate change,40 Environment,0,,,
144,covid,48,0,,,
145,Living costs,"""It's becoming increasingly difficult to afford basic necessities like housing and groceries. Something needs to be done to address the rising living costs in this country."" - Living costs",0,,,
146,illegal immigration,12,0,,,
147,covid,48,0,,,
148,Health,1,0,,,
149,inflation,31,0,,,
150,Rising prices for living,32,0,,,
151,Covid 19,48,0,,,
152,illegal immigrants,12 for Immigration,0,,,
153,economic recovery,26 - Economy-general,0,,,
154,rising prices/cost of living,32 for Living costs,0,,,
155,health,1,0,,,
156,Coping with Brexit,15,0,,,
157,migrants,12 for Immigration,0,,,
158,War in Ukraine,22 for War,0,,,
159,Inflation,31,0,,,
160,Covid and it's repercussions,48,0,,,
161,Corona virus,48,0,,,
162,Covid,48,0,,,
163,Cost of living,32,0,,,
164,coronavirus,48,0,,,
165,Economy,26,0,,,
166,Inflation,31,0,,,
167,Inflation,31,0,,,
168,covid,48,0,,,
169,climate change,40 Environment,0,,,
170,Cost of living,32,0,,,
171,Covid omicron,48 - Coronavirus,0,,,
172,Recovery from pandemic,48 - Coronavirus,0,,,
173,COVID 19,48 (Coronavirus),0,,,
174,Covid,48,0,,,
